C:\Users\Sourav\AppData\Local\Programs\Python\Python35\python.exe C:/Users/Sourav/PycharmProjects/Vehicleloader/FetchingandLoading/Fetching.py
['KA-30']  Karwar – 581301
['KA-31']  Sirsi – 581401
['KA-32']  Gulbarga s– 585101
['KA-33']  Yadgir – 585201
['KA-34']  Ballari – 583103
['KA-35']  Hospet – 583201
['KA-36']  Raichur – 584101
['KA-37']  Koppal – 583231
['KA-38']  Bidar – 585401
['KA-39']  Bhalki – 585328
['KA-40']  Chikkaballapur – 562101
['KA-41']  Bengaluru Western Suburbs: Kengeri – 560060
['KA-42']  Ramanagaram – 562159
['KA-43']  Devanahalli – Kempegowda International Airport, Bengaluru Rural District – 560300
['KA-44']  Tiptur – 572201, Tumakuru District
['KA-45']  Hunsur – 571105, Mysore District
['KA-46']  Sakleshpur – 573134, Hassan District
['KA-47']  Honnavar – 581334
['KA-48']  Jamkhandi – 587301
['KA-49']  Gokak – 591307
['KA-50']  Bengaluru Northern Suburbs: Yelahanka – 560106. BMTC buses are also registered here
['KA-51']  Bengaluru Southern Suburbs: Electronics City (BTM 4th Stage) – 560076
['KA-52']  Nelamangala, Bengaluru Rural District – 562123
['KA-53']  Bengaluru Eastern Suburbs: Krishnarajapuram – 560049. BMTC vehicles are also registered here.
['KA-54']  Nagamangala – 571432, Mandya District
['KA-55']  Mysuru East – 570019
['KA-56']  Basavakalyan – 585327
['KA-57']  Shantinagar, Bengaluru Urban District – 560027
Only for KSRTC, BMTC in KA-57F series[1]

['KA-61']  Marathahalli, Bengaluru Urban District (Yet to be allotted)
['KA-62']  Surathkal, Mangaluru (Yet to be allotted)
['KA-63']  Hubli @Dharwad East– 580026
['KA-64']  Madhugiri, Tumakuru District – 572132
['KA-65']  Dandeli, Uttara Kannada District – 581325
['KA-66']  Tarikere – 577228, Chikkamagaluru District
['KA-67']  Sedam – 585222, Gulbarga District (Yet to be allotted) [2]
['KA-68']  Chintamani, Chikkaballapur District – 563125 (Yet to be allotted)
['KA-69']  Ranebennuru, Haveri District – 581115 (Yet to be allotted)
['KA-70']  Bantwal, Dakshina Kannada District – 574211 (Yet to be allotted)
['KA-##-F', 'KA-##-FA', 'KA-57-F']  Karnataka State Road Transport Corporation and BMTC vehicles
['KA-##-G', 'KA-##-GA', 'KA-##-GZ']  Government of Karnataka
['KL-01']  Thiruvananthapuram
['KL-02']  Kollam
['KL-03']  Pathanamthitta
['KL-04']  Alappuzha
['KL-05']  Kottayam
['KL-06']  Idukki
['KL-07']  Ernakulam
['KL-08']  Thrissur
['KL-09']  Palakkad
['KL-10']  Malappuram
['KL-11']  Kozhikode
['KL-12']  Wayanad
['KL-13']  Kannur
['KL-14']  Kasargod
['KL-15']  Kerala State Road Transport Corporation buses
['KL-16']  Attingal
['KL-17']  Muvattupuzha
['KL-18']  Vatakara
['KL-19']  Parassala
['KL-20']  Neyyattinkara
['KL-21']  Nedumangad
['KL-22']  Kazhakkoottam / Thiruvananthapuram
['KL-23']  Karunagapally
['KL-24']  Kottarakara
['KL-25']  Punalur
['KL-26']  Adoor
['KL-27']  Thiruvalla
['KL-28']  Mallappally
['KL-29']  Kayamkulam
['KL-30']  Chengannur
['KL-31']  Mavelikara
['KL-32']  Cherthala
['KL-33']  Changanassery
['KL-34']  Kanjirappally
['KL-35']  Pala
['KL-36']  Vaikom
['KL-37']  Vandiperiyar
['KL-38']  Thodupuzha
['KL-39']  Thripunithura
['KL-40']  Perumbavoor
['KL-41']  Aluva
['KL-42']  North Paravur
['KL-43']  Mattancherry
['KL-44']  Kothamangalam
['KL-45']  Irinjalakuda
['KL-46']  Guruvayur
['KL-47']  Kodungallur
['KL-48']  Wadakkancherry
['KL-49']  Alathur
['KL-50']  Mannarghat
['KL-51']  Ottappalam
['KL-52']  Pattambi
['KL-53']  Perinthalmanna
['KL-54']  Ponnani
['KL-55']  Tirur
['KL-56']  Koyilandy
['KL-57']  Koduvally
['KL-58']  Thalassery
['KL-59']  Thaliparamba
['KL-60']  Kanhangad
['KL-61']  Kunnathur
['KL-62']  Ranni
['KL-63']  Angamaly
['KL-64']  Chalakkudy
['KL-65']  Thirurangadi
['KL-66']  Kuttanadu
['KL-67']  Uzhavoor
['KL-68']  Devikulam
['KL-69']  Nedumkandam
['KL-70']  Chittur
['KL-71']  Nilambur
['KL-72']  Mananthavady
['KL-73']  Sulthan Bathery
['LD-01']  Kavaratti
['LD-02']  Agatti
['LD-03']  Amini
['LD-04']  Androth
['LD-05']  Kadmat
['LD-05']  Kiltan
['LD-07']  Chetlat
['LD-08']  Kalpeni
['LD-09']  Minicoy
['MH-01']  Mumbai (South) – RTO is located in Tardeo. BEST, MCGM and Mumbai Police vehicles are also registered here
['MH-02']  Mumbai (West) – RTO is located in Andheri
['MH-03']  Mumbai (East) – RTO is located in Wadala. Branch in Worli
['MH-04']  Thane. Branch in Murphy Colony.
Also MSRTC buses are registered here.
['MH-05']  Kalyan-Dombivali, Ulhasnagar, Ambernath and Badlapur – RTO is located in Kalyan
['MH-06']  Raigad – RTO is located in Pen (does not include Navi Mumbai, Kharghar, Panvel, Khopoli)
Also MSRTC buses are registered here.
['MH-07']  Sindhudurg – RTO is located in Sindhudurg Nagari
Also MSRTC buses are registered here.
['MH-08']  Ratnagiri
['MH-09']  Kolhapur
['MH-10']  Sangli-Miraj-Kupwad
['MH-11']  Satara
Also MSRTC buses are registered here.
